state,census_id,city
Alaska,1600000US0203000,Anchorage municipality
Alaska,1600000US0224230,Fairbanks
Alaska,1600000US0236400,Juneau and borough
Alabama,1600000US0103076,Auburn
Alabama,1600000US0105980,Bessemer
Alabama,1600000US0120104,Decatur
Alabama,1600000US0121184,Dothan
Alabama,1600000US0126896,Florence
Alabama,1600000US0128696,Gadsden
Alabama,1600000US0135800,Homewood
Alabama,1600000US0135896,Hoover
Alabama,1600000US0137000,Huntsville
Alabama,1600000US0145784,Madison
Alabama,1600000US0150000,Mobile
Alabama,1600000US0151000,Montgomery
Alabama,1600000US0159472,Phenix
Alabama,1600000US0162496,Prichard
Alabama,1600000US0177256,Tuscaloosa
Arkansas,1600000US0515190,Conway
Arkansas,1600000US0523290,Fayetteville
Arkansas,1600000US0524550,Fort Smith
Arkansas,1600000US0533400,Hot Springs
Arkansas,1600000US0534750,Jacksonville
Arkansas,1600000US0535710,Jonesboro
Arkansas,1600000US0541000,Little Rock
Arkansas,1600000US0550450,North Little Rock
Arkansas,1600000US0555310,Pine Bluff
Arkansas,1600000US0560410,Rogers
Arkansas,1600000US0568810,Texarkana
Arkansas,1600000US0574540,West Memphis
Arizona,1600000US0402830,Apache Junction
Arizona,1600000US0404720,Avondale
Arizona,1600000US0408220,Bullhead
Arizona,1600000US0410530,Casa Grande
Arizona,1600000US0412000,Chandler
Arizona,1600000US0423620,Flagstaff
Arizona,1600000US0427400,Gilbert
Arizona,1600000US0427820,Glendale
Arizona,1600000US0439370,Lake Havasu
Arizona,1600000US0451600,Oro Valley
Arizona,1600000US0454050,Peoria
Arizona,1600000US0455000,Phoenix
Arizona,1600000US0457380,Prescott
Arizona,1600000US0465000,Scottsdale
Arizona,1600000US0466820,Sierra Vista
Arizona,1600000US0471510,Surprise
Arizona,1600000US0473000,Tempe
Arizona,1600000US0477000,Tucson
California,1600000US0600562,Alameda
California,1600000US0600884,Alhambra
California,1600000US0600947,Aliso Viejo
California,1600000US0602000,Anaheim
California,1600000US0602252,Antioch
California,1600000US0602364,Apple Valley
California,1600000US0602462,Arcadia
California,1600000US0603064,Atascadero
California,1600000US0603386,Azusa
California,1600000US0603526,Bakersfield
California,1600000US0603666,Baldwin Park
California,1600000US0604870,Bell
California,1600000US0604982,Bellflower
California,1600000US0604996,Bell Gardens
California,1600000US0605108,Belmont
California,1600000US0605290,Benicia
California,1600000US0606000,Berkeley
California,1600000US0606308,Beverly Hills
California,1600000US0608100,Brea
California,1600000US0608786,Buena Park
California,1600000US0609066,Burlingame
California,1600000US0609710,Calexico
California,1600000US0610046,Camarillo
California,1600000US0610345,Campbell
California,1600000US0611194,Carlsbad
California,1600000US0611530,Carson
California,1600000US0612048,Cathedral
California,1600000US0612524,Ceres
California,1600000US0612552,Cerritos
California,1600000US0613014,Chico
California,1600000US0613210,Chino
California,1600000US0613214,Chino Hills
California,1600000US0613392,Chula Vista
California,1600000US0613588,Citrus Heights
California,1600000US0613756,Claremont
California,1600000US0614218,Clovis
California,1600000US0614890,Colton
California,1600000US0615044,Compton
California,1600000US0616000,Concord
California,1600000US0616350,Corona
California,1600000US0616532,Costa Mesa
California,1600000US0616742,Covina
California,1600000US0617568,Culver
California,1600000US0617610,Cupertino
California,1600000US0617750,Cypress
California,1600000US0617918,Daly
California,1600000US0617946,Dana Point
California,1600000US0617988,Danville
California,1600000US0618100,Davis
California,1600000US0618394,Delano
California,1600000US0619192,Diamond Bar
California,1600000US0619766,Downey
California,1600000US0620018,Dublin
California,1600000US0620956,East Palo Alto
California,1600000US0621712,El Cajon
California,1600000US0621782,El Centro
California,1600000US0622020,Elk Grove
California,1600000US0622230,El Monte
California,1600000US0622678,Encinitas
California,1600000US0622804,Escondido
California,1600000US0623042,Eureka
California,1600000US0623182,Fairfield
California,1600000US0624638,Folsom
California,1600000US0624680,Fontana
California,1600000US0625338,Foster
California,1600000US0625380,Fountain Valley
California,1600000US0626000,Fremont
California,1600000US0627000,Fresno
California,1600000US0628000,Fullerton
California,1600000US0628168,Gardena
California,1600000US0629000,Garden Grove
California,1600000US0629504,Gilroy
California,1600000US0630000,Glendale
California,1600000US0630014,Glendora
California,1600000US0630378,Goleta
California,1600000US0631960,Hanford
California,1600000US0632548,Hawthorne
California,1600000US0633000,Hayward
California,1600000US0633182,Hemet
California,1600000US0633434,Hesperia
California,1600000US0633588,Highland
California,1600000US0634120,Hollister
California,1600000US0636000,Huntington Beach
California,1600000US0636056,Huntington Park
California,1600000US0636294,Imperial Beach
California,1600000US0636448,Indio
California,1600000US0636546,Inglewood
California,1600000US0636770,Irvine
California,1600000US0639220,Laguna Hills
California,1600000US0639248,Laguna Niguel
California,1600000US0639290,La Habra
California,1600000US0639486,Lake Elsinore
California,1600000US0639496,Lake Forest
California,1600000US0639892,Lakewood
California,1600000US0640004,La Mesa
California,1600000US0640032,La Mirada
California,1600000US0640130,Lancaster
California,1600000US0640340,La Puente
California,1600000US0640886,Lawndale
California,1600000US0641992,Livermore
California,1600000US0642202,Lodi
California,1600000US0642524,Lompoc
California,1600000US0643000,Long Beach
California,1600000US0643280,Los Altos
California,1600000US0644000,Los Angeles
California,1600000US0644028,Los Banos
California,1600000US0644112,Los Gatos
California,1600000US0644574,Lynwood
California,1600000US0645022,Madera
California,1600000US0645400,Manhattan Beach
California,1600000US0645484,Manteca
California,1600000US0646114,Martinez
California,1600000US0646492,Maywood
California,1600000US0646870,Menlo Park
California,1600000US0646898,Merced
California,1600000US0647766,Milpitas
California,1600000US0648256,Mission Viejo
California,1600000US0648354,Modesto
California,1600000US0648648,Monrovia
California,1600000US0648788,Montclair
California,1600000US0648816,Montebello
California,1600000US0648872,Monterey
California,1600000US0648914,Monterey Park
California,1600000US0649138,Moorpark
California,1600000US0649270,Moreno Valley
California,1600000US0649278,Morgan Hill
California,1600000US0649670,Mountain View
California,1600000US0650076,Murrieta
California,1600000US0650258,Napa
California,1600000US0650398,National
California,1600000US0650916,Newark
California,1600000US0651182,Newport Beach
California,1600000US0652526,Norwalk
California,1600000US0652582,Novato
California,1600000US0653000,Oakland
California,1600000US0653070,Oakley
California,1600000US0653322,Oceanside
California,1600000US0653896,Ontario
California,1600000US0653980,Orange
California,1600000US0654652,Oxnard
California,1600000US0654806,Pacifica
California,1600000US0655156,Palmdale
California,1600000US0655184,Palm Desert
California,1600000US0655254,Palm Springs
California,1600000US0655282,Palo Alto
California,1600000US0655618,Paramount
California,1600000US0656000,Pasadena
California,1600000US0656700,Perris
California,1600000US0656784,Petaluma
California,1600000US0656924,Pico Rivera
California,1600000US0657456,Pittsburg
California,1600000US0657526,Placentia
California,1600000US0657764,Pleasant Hill
California,1600000US0657792,Pleasanton
California,1600000US0658072,Pomona
California,1600000US0658240,Porterville
California,1600000US0658520,Poway
California,1600000US0659444,Rancho Cordova
California,1600000US0659451,Rancho Cucamonga
California,1600000US0659514,Rancho Palos Verdes
California,1600000US0659587,Rancho Santa Margarita
California,1600000US0659920,Redding
California,1600000US0659962,Redlands
California,1600000US0660018,Redondo Beach
California,1600000US0660102,Redwood
California,1600000US0660466,Rialto
California,1600000US0660620,Richmond
California,1600000US0662000,Riverside
California,1600000US0662364,Rocklin
California,1600000US0662546,Rohnert Park
California,1600000US0662896,Rosemead
California,1600000US0662938,Roseville
California,1600000US0664000,Sacramento
California,1600000US0664224,Salinas
California,1600000US0665000,San Bernardino
California,1600000US0665028,San Bruno
California,1600000US0665084,San Clemente
California,1600000US0666000,San Diego
California,1600000US0666070,San Dimas
California,1600000US0667000,San Francisco
California,1600000US0667042,San Gabriel
California,1600000US0668000,San Jose
California,1600000US0668028,San Juan Capistrano
California,1600000US0668084,San Leandro
California,1600000US0668154,San Luis Obispo
California,1600000US0668196,San Marcos
California,1600000US0668252,San Mateo
California,1600000US0668294,San Pablo
California,1600000US0668364,San Rafael
California,1600000US0668378,San Ramon
California,1600000US0669000,Santa Ana
California,1600000US0669070,Santa Barbara
California,1600000US0669084,Santa Clara
California,1600000US0669088,Santa Clarita
California,1600000US0669112,Santa Cruz
California,1600000US0669196,Santa Maria
California,1600000US0670000,Santa Monica
California,1600000US0670042,Santa Paula
California,1600000US0670098,Santa Rosa
California,1600000US0670224,Santee
California,1600000US0670280,Saratoga
California,1600000US0670742,Seaside
