states,city,description
Alaska,"Anchorage, AK","The crime incident count of Anchorage, AK was 2,157 for aggravated assault. The crime incident count of Anchorage, AK was 36,211 for all crimes. The crime incident count of Anchorage, AK was 69 for arson. The crime incident count of Anchorage, AK was 2,008 for burglary. The crime incident count of Anchorage, AK was 10,599 for larceny. The crime incident count of Anchorage, AK was 2,042 for motor vehicle theft. The crime incident count of Anchorage, AK was 28 for murder and nonnegligent manslaughter. The crime incident count of Anchorage, AK was 14,649 for property crime. The crime incident count of Anchorage, AK was 542 for rape (revised definition). The crime incident count of Anchorage, AK was 695 for robbery. The crime incident count of Anchorage, AK was 3,422 for violent crime."
Alaska,"Fairbanks, AK","The crime incident count of Fairbanks, AK was 154 for aggravated assault. The crime incident count of Fairbanks, AK was 3,150 for all crimes. The crime incident count of Fairbanks, AK was 4 for arson. The crime incident count of Fairbanks, AK was 157 for burglary. The crime incident count of Fairbanks, AK was 1,069 for larceny. The crime incident count of Fairbanks, AK was 124 for motor vehicle theft. The crime incident count of Fairbanks, AK was 7 for murder and nonnegligent manslaughter. The crime incident count of Fairbanks, AK was 1,350 for property crime. The crime incident count of Fairbanks, AK was 31 for rape (revised definition). The crime incident count of Fairbanks, AK was 31 for robbery. The crime incident count of Fairbanks, AK was 223 for violent crime."
Alaska,"Juneau, AK","The crime incident count of Juneau, AK was 215 for aggravated assault. The crime incident count of Juneau, AK was 3,758 for all crimes. The crime incident count of Juneau, AK was 4 for arson. The crime incident count of Juneau, AK was 310 for burglary. The crime incident count of Juneau, AK was 1,212 for larceny. The crime incident count of Juneau, AK was 73 for motor vehicle theft. The crime incident count of Juneau, AK was 0 for murder and nonnegligent manslaughter. The crime incident count of Juneau, AK was 1,595 for property crime. The crime incident count of Juneau, AK was 36 for rape (revised definition). The crime incident count of Juneau, AK was 31 for robbery. The crime incident count of Juneau, AK was 282 for violent crime."
Alabama,"Auburn, AL","The crime incident count of Auburn, AL was 163 for aggravated assault. The crime incident count of Auburn, AL was 2,670 for all crimes. The crime incident count of Auburn, AL was 203 for burglary. The crime incident count of Auburn, AL was 844 for larceny. The crime incident count of Auburn, AL was 78 for motor vehicle theft. The crime incident count of Auburn, AL was 4 for murder and nonnegligent manslaughter. The crime incident count of Auburn, AL was 1,125 for property crime. The crime incident count of Auburn, AL was 12 for rape (revised definition). The crime incident count of Auburn, AL was 31 for robbery. The crime incident count of Auburn, AL was 210 for violent crime."
Alabama,"Bessemer, AL","The crime incident count of Bessemer, AL was 604 for aggravated assault. The crime incident count of Bessemer, AL was 6,332 for all crimes. The crime incident count of Bessemer, AL was 573 for burglary. The crime incident count of Bessemer, AL was 1,621 for larceny. The crime incident count of Bessemer, AL was 209 for motor vehicle theft. The crime incident count of Bessemer, AL was 3 for murder and nonnegligent manslaughter. The crime incident count of Bessemer, AL was 2,403 for property crime. The crime incident count of Bessemer, AL was 29 for rape (revised definition). The crime incident count of Bessemer, AL was 127 for robbery. The crime incident count of Bessemer, AL was 763 for violent crime."
Alabama,"Decatur, AL","The crime incident count of Decatur, AL was 97 for aggravated assault. The crime incident count of Decatur, AL was 5,508 for all crimes. The crime incident count of Decatur, AL was 526 for burglary. The crime incident count of Decatur, AL was 1,918 for larceny. The crime incident count of Decatur, AL was 156 for motor vehicle theft. The crime incident count of Decatur, AL was 5 for murder and nonnegligent manslaughter. The crime incident count of Decatur, AL was 2,600 for property crime. The crime incident count of Decatur, AL was 9 for rape (revised definition). The crime incident count of Decatur, AL was 43 for robbery. The crime incident count of Decatur, AL was 154 for violent crime."
Alabama,"Dothan, AL","The crime incident count of Dothan, AL was 5,737 for all crimes. The crime incident count of Dothan, AL was 681 for burglary. The crime incident count of Dothan, AL was 1,963 for larceny. The crime incident count of Dothan, AL was 164 for motor vehicle theft. The crime incident count of Dothan, AL was 5 for murder and nonnegligent manslaughter. The crime incident count of Dothan, AL was 2,808 for property crime. The crime incident count of Dothan, AL was 36 for rape (revised definition). The crime incident count of Dothan, AL was 80 for robbery."
Alabama,"Florence, AL","The crime incident count of Florence, AL was 129 for aggravated assault. The crime incident count of Florence, AL was 3,192 for all crimes. The crime incident count of Florence, AL was 242 for burglary. The crime incident count of Florence, AL was 1,052 for larceny. The crime incident count of Florence, AL was 106 for motor vehicle theft. The crime incident count of Florence, AL was 2 for murder and nonnegligent manslaughter. The crime incident count of Florence, AL was 1,400 for property crime. The crime incident count of Florence, AL was 19 for rape (revised definition). The crime incident count of Florence, AL was 46 for robbery. The crime incident count of Florence, AL was 196 for violent crime."
Alabama,"Gadsden, AL","The crime incident count of Gadsden, AL was 377 for aggravated assault. The crime incident count of Gadsden, AL was 5,970 for all crimes. The crime incident count of Gadsden, AL was 401 for burglary. The crime incident count of Gadsden, AL was 1,893 for larceny. The crime incident count of Gadsden, AL was 227 for motor vehicle theft. The crime incident count of Gadsden, AL was 4 for murder and nonnegligent manslaughter. The crime incident count of Gadsden, AL was 2,521 for property crime. The crime incident count of Gadsden, AL was 27 for rape (revised definition). The crime incident count of Gadsden, AL was 56 for robbery. The crime incident count of Gadsden, AL was 464 for violent crime."
Alabama,"Homewood, AL","The crime incident count of Homewood, AL was 32 for aggravated assault. The crime incident count of Homewood, AL was 2,116 for all crimes. The crime incident count of Homewood, AL was 137 for burglary. The crime incident count of Homewood, AL was 772 for larceny. The crime incident count of Homewood, AL was 65 for motor vehicle theft. The crime incident count of Homewood, AL was 2 for murder and nonnegligent manslaughter. The crime incident count of Homewood, AL was 974 for property crime. The crime incident count of Homewood, AL was 12 for rape (revised definition). The crime incident count of Homewood, AL was 38 for robbery. The crime incident count of Homewood, AL was 84 for violent crime."
Alabama,"Hoover, AL","The crime incident count of Hoover, AL was 42 for aggravated assault. The crime incident count of Hoover, AL was 494 for all crimes. The crime incident count of Hoover, AL was 2 for arson. The crime incident count of Hoover, AL was 203 for burglary. The crime incident count of Hoover, AL was 81 for motor vehicle theft. The crime incident count of Hoover, AL was 3 for murder and nonnegligent manslaughter. The crime incident count of Hoover, AL was 19 for rape (revised definition). The crime incident count of Hoover, AL was 40 for robbery. The crime incident count of Hoover, AL was 104 for violent crime."
Alabama,"Huntsville, AL","The crime incident count of Huntsville, AL was 1,203 for aggravated assault. The crime incident count of Huntsville, AL was 22,370 for all crimes. The crime incident count of Huntsville, AL was 1,692 for burglary. The crime incident count of Huntsville, AL was 6,812 for larceny. The crime incident count of Huntsville, AL was 894 for motor vehicle theft. The crime incident count of Huntsville, AL was 18 for murder and nonnegligent manslaughter. The crime incident count of Huntsville, AL was 9,398 for property crime. The crime incident count of Huntsville, AL was 152 for rape (revised definition). The crime incident count of Huntsville, AL was 414 for robbery. The crime incident count of Huntsville, AL was 1,787 for violent crime."
Alabama,"Madison, AL","The crime incident count of Madison, AL was 173 for aggravated assault. The crime incident count of Madison, AL was 2,440 for all crimes. The crime incident count of Madison, AL was 115 for burglary. The crime incident count of Madison, AL was 826 for larceny. The crime incident count of Madison, AL was 70 for motor vehicle theft. The crime incident count of Madison, AL was 1 for murder and nonnegligent manslaughter. The crime incident count of Madison, AL was 1,011 for property crime. The crime incident count of Madison, AL was 11 for rape (revised definition). The crime incident count of Madison, AL was 24 for robbery. The crime incident count of Madison, AL was 209 for violent crime."
